grid_id,LeftBottom_x,LeftBottom_y,RightTop_x,RightTop_y,Centroid_x,Centroid_y,row,col,area1,area2,area3,all_grid_id,address
2841,120.243119658262,22.917132356573447,120.24803361488159,22.92164698849552,120.24557663657184,22.91938967253448,109,44,臺南市,仁德區,中洲里|保安里,18018,臺南市仁德區保安里永德路
2842,120.24803361488159,22.917132356573447,120.25294757150118,22.92164698849552,120.25049059319142,22.91938967253448,109,45,臺南市,仁德區,中洲里|保安里,18019,臺南市仁德區中洲里開發六路14巷
2843,120.25294757150118,22.917132356573447,120.25786152812077,22.92164698849552,120.25540454981095,22.91938967253448,109,46,臺南市,仁德區,中洲里|保安里,18020,臺南市仁德區中洲里開發六路14巷
2844,120.25786152812077,22.917132356573447,120.26277548474036,22.92164698849552,120.26031850643056,22.91938967253448,109,47,臺南市,仁德區|歸仁區,中洲里|保安里|大潭里,18021,臺南市仁德區上崙里蔦松腳中山高速公路
2845,120.26277548474036,22.917132356573447,120.26768944135996,22.92164698849552,120.26523246305015,22.91938967253448,109,48,臺南市,仁德區|歸仁區,中洲里|大潭里|武東里,18022,臺南市仁德區中洲里武東三街
2846,120.26768944135996,22.917132356573447,120.27260339797957,22.92164698849552,120.27014641966974,22.91938967253448,109,49,臺南市,歸仁區,武東里,18023,臺南市歸仁區武東里刣豬厝中正南路二段214巷
2847,120.27260339797957,22.917132356573447,120.27751735459913,22.92164698849552,120.27506037628929,22.91938967253448,109,50,臺南市,歸仁區,武東里,18024,臺南市歸仁區武東里刣豬厝武東一街29巷
2848,120.27751735459913,22.917132356573447,120.28243131121872,22.92164698849552,120.27997433290892,22.91938967253448,109,51,臺南市,歸仁區,武東里,18025,臺南市歸仁區武東里刣豬厝大武路二段
2849,120.28243131121872,22.917132356573447,120.28734526783829,22.92164698849552,120.28488828952852,22.91938967253448,109,52,臺南市,歸仁區,武東里,18026,臺南市歸仁區武東里歸仁十八路
2850,120.28734526783829,22.917132356573447,120.29225922445791,22.92164698849552,120.28980224614807,22.91938967253448,109,53,臺南市,歸仁區,武東里|沙崙里,18027,臺南市歸仁區武東里高發二路
2851,120.29225922445791,22.917132356573447,120.29717318107748,22.92164698849552,120.2947162027677,22.91938967253448,109,54,臺南市,歸仁區,大潭里|武東里|沙崙里,18028,臺南市歸仁區武東里大武路三段
2852,120.29717318107748,22.917132356573447,120.30208713769709,22.92164698849552,120.2996301593873,22.91938967253448,109,55,臺南市,歸仁區,大潭里|沙崙里,18029,臺南市歸仁區沙崙里高發三路二段
2853,120.30208713769709,22.917132356573447,120.30700109431666,22.92164698849552,120.30454411600687,22.91938967253448,109,56,臺南市,歸仁區,大潭里|沙崙里,18030,臺南市
