grid_id,row,col,store
707,65,29,2
708,65,30,0
709,65,31,0
710,65,32,2
711,65,33,5
712,65,34,24
713,65,35,60
714,65,36,45
715,65,37,0
716,65,38,2
717,65,39,0
718,65,40,0
719,65,41,0
720,65,42,43
721,65,43,6
722,65,44,0
723,65,45,1
724,65,46,0
725,65,47,0
726,65,48,0
727,65,49,0
728,65,50,0
729,65,51,0
730,65,52,4
731,65,53,5
732,65,54,0
733,65,55,1
734,65,56,0
735,65,57,1
736,65,58,4
737,65,59,0
738,65,60,14
739,65,61,0
740,65,62,9
741,66,30,4
742,66,31,0
743,66,32,0
744,66,33,0
745,66,34,7
746,66,35,10
747,66,36,3
748,66,37,0
749,66,38,0
750,66,39,1
751,66,40,0
752,66,41,1
753,66,42,30
754,66,43,3
755,66,44,0
756,66,45,0
757,66,46,3
758,66,47,0
759,66,48,0
760,66,49,0
761,66,50,4
762,66,51,0
763,66,52,0
764,66,53,8
765,66,54,0
766,66,55,1
767,66,56,0
768,66,57,0
769,66,58,0
770,66,59,0
771,66,60,0
772,66,61,0
773,66,62,0
774,67,30,0
775,67,31,3
776,67,32,2
777,67,33,6
778,67,34,9
779,67,35,0
780,67,36,0
781,67,37,0
782,67,38,3
783,67,39,8
784,67,40,1
785,67,41,2
786,67,42,0
787,67,43,11
788,67,44,0
789,67,45,0
790,67,46,0
791,67,47,0
792,67,48,5
793,67,49,0
794,67,50,0
795,67,51,0
796,67,52,0
797,67,53,5
798,67,54,0
799,67,55,0
800,67,56,0
801,67,57,0
802,67,58,0
803,67,59,0
804,67,60,0
805,67,61,0
806,67,62,0
807,68,29,0
808,68,30,0
809,68,31,0
810,68,32,0
811,68,33,4
812,68,34,0
813,68,35,0
814,68,36,0
815,68,37,0
816,68,38,1
817,68,39,3
818,68,40,18
819,68,41,7
820,68,42,29
821,68,43,8
822,68,44,0
823,68,45,0
824,68,46,0
825,68,47,0
826,68,48,0
827,68,49,0
828,68,50,0
829,68,51,11
830,68,52,0
831,68,53,2
832,68,54,1
833,68,55,0
834,68,56,0
835,68,57,0
836,68,58,3
837,68,59,0
838,68,60,0
839,68,61,0
840,68,62,13
841,69,29,0
842,69,30,0
843,69,31,0
844,69,32,0
845,69,33,0
846,69,34,0
847,69,35,0
848,69,36,6
849,69,37,27
850,69,38,13
851,69,39,0
852,69,40,3
853,69,41,0
854,69,42,4
855,69,43,0
856,69,44,1
857,69,45,0
858,69,46,0
859,69,47,0
860,69,48,2
861,69,49,0
862,69,50,0
863,69,51,0
864,69,52,0
865,69,53,2
866,69,54,3
867,69,55,4
868,69,56,0
869,69,57,14
870,69,58,21
871,69,59,5
872,69,60,0
873,69,61,0
874,69,62,0
875,69,63,0
876,70,30,0
877,70,31,0
878,70,32,0
879,70,33,3
880,70,34,0
881,70,35,0
882,70,36,15
883,70,37,46
884,70,38,6
885,70,39,0
886,70,40,3
887,70,41,11
888,70,42,19
889,70,43,24
890,70,44,17
891,70,45,0
892,70,46,0
893,70,47,0
894,70,48,0
895,70,49,1
896,70,50,0
897,70,51,33
898,70,52,0
899,70,53,5
900,70,54,2
901,70,55,3
902,70,56,0
903,70,57,13
904,70,58,8
905,70,59,8
906,70,60,0
907,70,61,0
908,70,62,0
909,70,63,0
910,71,20,0
911,71,21,0
912,71,22,0
913,71,23,0
914,71,24,0
915,71,25,0
916,71,26,0
917,71,27,0
918,71,30,0
919,71,31,0
920,71,32,3
921,71,33,0
922,71,34,0
923,71,35,0
924,71,36,5
925,71,37,5
926,71,38,0
927,71,39,0
928,71,40,12
929,71,41,85
930,71,42,52
931,71,43,4
932,71,44,0
933,71,45,0
934,71,46,1
935,71,47,9
936,71,48,0
937,71,49,0
938,71,50,0
939,71,51,0
940,71,52,0
941,71,53,0
942,71,54,23
943,71,55,4
944,71,56,2
945,71,57,27
946,71,58,18
947,71,59,27
948,71,60,2
949,71,61,0
950,71,62,0
951,71,63,0
952,71,64,0
953,72,14,0
954,72,15,0
955,72,16,0
956,72,17,0
957,72,18,0
958,72,19,0
959,72,20,0
960,72,21,0
961,72,22,0
962,72,23,0
963,72,24,0
964,72,25,0
965,72,26,0
966,72,27,0
967,72,28,0
968,72,29,0
969,72,30,0
970,72,31,0
971,72,32,7
972,72,33,0
973,72,34,1
974,72,35,0
975,72,36,16
976,72,37,44
977,72,38,21
978,72,39,3
979,72,40,12
980,72,41,38
981,72,42,11
982,72,43,5
983,72,44,0
984,72,45,0
985,72,46,8
986,72,47,0
987,72,48,5
988,72,49,0
989,72,50,0
990,72,51,0
991,72,52,3
992,72,53,3
993,72,54,11
994,72,55,0
995,72,56,0
996,72,57,9
997,72,58,14
998,72,59,18
999,72,60,0
1000,72,61,0
1001,72,62,0
1002,72,63,0
1003,72,64,0
1004,73,13,0
1005,73,14,0
1006,73,15,0
1007,73,16,0
1008,73,17,0
1009,73,18,0
1010,73,19,0
1011,73,20,4
1012,73,21,0
1013,73,22,7
1014,73,23,5
1015,73,24,4
1016,73,25,0
1017,73,26,0
1018,73,27,0
1019,73,28,0
1020,73,29,0
1021,73,30,0
1022,73,31,1
1023,73,32,0
1024,73,33,0
1025,73,34,0
1026,73,35,4
1027,73,36,11
1028,73,37,2
1029,73,38,1
1030,73,39,51
1031,73,40,4
1032,73,41,2
1033,73,42,0
1034,73,43,0
1035,73,44,0
1036,73,45,0
1037,73,46,0
1038,73,47,0
1039,73,48,0
1040,73,49,0
1041,73,50,0
1042,73,51,0
1043,73,52,1
1044,73,53,11
1045,73,54,94
1046,73,55,41
1047,73,56,28
1048,73,57,0
1049,73,58,0
1050,73,59,1
1051,73,60,1
1052,73,61,2
1053,73,62,5
1054,73,63,0
1055,73,64,0
1056,73,65,0
1057,74,13,0
1058,74,14,0
1059,74,15,0
1060,74,16,1
1061,74,17,10
1062,74,18,0
1063,74,19,4
1064,74,20,5
1065,74,21,7
1066,74,22,15
1067,74,23,8
1068,74,24,11
1069,74,25,0
1070,74,26,0
1071,74,27,0
1072,74,28,0
1073,74,29,0
1074,74,30,0
1075,74,31,0
1076,74,32,0
1077,74,33,2
1078,74,34,3
1079,74,35,17
1080,74,36,11
1081,74,37,113
1082,74,38,6
1083,74,39,16
1084,74,40,0
1085,74,41,0
1086,74,42,0
1087,74,43,0
1088,74,44,0
1089,74,45,0
1090,74,46,0
1091,74,47,0
1092,74,48,0
1093,74,49,0
1094,74,50,1
1095,74,51,21
